
############ Experiment A — Balanced / FIFO ############
Params {
    workers: 8,
    total_tasks: 1000,
    arrival_interval_ms: 20,
    task_duration_ms: 200,
    io_probability: 0.7,
    cpu_budget: 100,
    monitor_tick_ms: 10,
    rng_seed: 42,
    policy: Fifo,
    workload: Balanced,
}
[monitor  4458ms] active 3/8 | cpu 80% | queue 98 | total 1000
[monitor  4469ms] active 3/8 | cpu 80% | queue 98 | total 1000
[monitor  4480ms] active 3/8 | cpu 80% | queue 99 | total 1000
[monitor  4492ms] active 3/8 | cpu 80% | queue 99 | total 1000
[monitor  4503ms] active 3/8 | cpu 80% | queue 100 | total 1000
[monitor  4515ms] active 3/8 | cpu 80% | queue 100 | total 1000
[monitor  4526ms] active 3/8 | cpu 80% | queue 101 | total 1000
[monitor  4553ms] active 3/8 | cpu 80% | queue 102 | total 1000
[monitor  4564ms] active 3/8 | cpu 80% | queue 103 | total 1000
[monitor  4576ms] active 3/8 | cpu 80% | queue 103 | total 1000
[monitor  4588ms] active 3/8 | cpu 80% | queue 104 | total 1000
[monitor  4599ms] active 3/8 | cpu 80% | queue 104 | total 1000
[monitor  4610ms] active 3/8 | cpu 80% | queue 105 | total 1000
[monitor  4621ms] active 3/8 | cpu 80% | queue 106 | total 1000
